Store No  |Bin No|Item No   |Item Desc                                         |UOM   |Item Cat      |Item Cat Desc                                     |Item Sub Cat                                                                        |Item Sub Cat Desc                                 |On Hand Qty      |Unit Price      |On Hand Value    
GARAGE STO|NONE  |607600    |chain lube 1ltr                                   |LT    |OIL           |OIL                                               |OIL                                                                                 |OIL                                               | 000000000008.000| 00000240.00000 | 000000001920.00 
GARAGE STO|NONE  |607601    |2 stroke oil                                      |EACH  |OIL           |OIL                                               |OIL                                                                                 |OIL                                               | 000000000000.000| 00000000.00000 | 000000000000.00 
GARAGE STO|NONE  |607688    |ANTI-FREEZE                                       |LT    |OIL           |OIL                                               |OIL                                                                                 |OIL                                               | 000000000420.000| 00000046.66667 | 000000019600.00 
GARAGE STO|NONE  |609566    |OIL HYDRAULIC RANDO HD 68                         |LT    |OIL           |OIL                                               |OIL                                                                                 |OIL                                               | 000000000000.000| 00000000.00000 | 000000000000.00 
GARAGE STO|NONE  |609639    |OIL 80W-90GL4GEARBOX                              |LT    |OIL           |OIL                                               |OIL                                                                                 |OIL                                               | 000000000000.000| 00000000.00000 | 000000000000.00 
GARAGE STO|NONE  |609649    |OIL ENGINE 15W-40                                 |LT    |OIL           |OIL                                               |OIL                                                                                 |OIL                                               | 000000000000.000| 00000000.00000 | 000000000000.00 
GARAGE STO|NONE  |609655    |DEGREASING FLUID                                  |LT    |OIL           |OIL                                               |OIL                                                                                 |OIL                                               | 000000000000.000| 00000000.00000 | 000000000000.00 
GARAGE STO|00NONE|609662    |BRAKE FLUID 500ML                                 |EACH  |OIL           |OIL                                               |OIL                                                                                 |OIL                                               | 000000000155.500| 00000074.74997 | 000000011623.62 
GARAGE STO|00NONE|609663    |GREASE LITHIUM EP 2                               |KG    |OIL           |OIL                                               |OIL                                                                                 |OIL                                               | 000000000180.000| 00000166.66667 | 000000030000.00 
MAIN STORE|NONE  |0R202452  |DISPENSER                                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |0R907316  |GHRIES                                            |KG    |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |100075    |BREAKERS 70 A Q L                                 |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |100124    |TAPE 20 MM RED PVC                                |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |100967    |BUCKLES BANDIT                                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |101454    |BOEKE MAGASYN VOORRAAD (BESTEL                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200018    |ARRESTORS PORCELEIN 6KV                           |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000087.000| 00000542.23540 | 000000047174.48 
MAIN STORE|NONE  |200019    |ARRESTORS MOV PORCELAIN 12KV                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000063.000| 00000515.00000 | 000000032445.00 
MAIN STORE|NONE  |200034    |AIRPORT FILTER CLAMP ASSEMBLY                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000013.000| 00000036.27000 | 000000000471.51 
MAIN STORE|NONE  |200069    |SURGE ARRESTOR S/PHASE QKLN/2                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000007.000| 00000312.50000 | 000000002187.50 
MAIN STORE|NONE  |200070    |SURGE ARRESTOR T/P QKLN/4 20KA                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000027.000| 00000543.58481 | 000000014676.79 
MAIN STORE|NONE  |200077    |AIRPORT COUPLINGS H & F.M.                        |SET   |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000019.000| 00000160.78684 | 000000003054.95 
MAIN STORE|NONE  |200085    |AIRPORT BALLAST                                   |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000001.000| 00000812.00000 | 000000000812.00 
MAIN STORE|NONE  |200093    |AIRPORT LAMPS                                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200107    |AIRPORT HOLDERS                                   |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200123    |AIRPORT LENSES C/W GASKETS                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000003.000| 00000161.38000 | 000000000484.14 
MAIN STORE|NONE  |200131    |AIRPORT LENSES ORANGE                             |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200158    |AIRPORT LENSES RED                                |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200166    |CANOPIES 125W M/V BEKAREY                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200174    |AIRPORT LENSES GREEN                              |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000007.000| 00000212.48000 | 000000001487.36 
MAIN STORE|NONE  |200182    |AIRPORT LENSES BLUE                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000011.000| 00000288.94818 | 000000003178.43 
MAIN STORE|NONE  |200204    |BALLASTS 65W FOR 5 TUBES                          |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200212    |AIRPORT PATCH CORDS KEYS                          |SET   |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200239    |AIRPORT ZA202 COMPLETE LIGHT U                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000001.000| 00003320.00000 | 000000003320.00 
MAIN STORE|NONE  |200255    |BALLAST SINGLE 40W 4FT PARMA                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200301    |BALLAST 80W 8FT HARPER                            |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200409    |BOWLS M/V 125W                                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200410    |BOWELS DIFFUSER GE                                |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200411    |BOWLS DIFFUSER BEKALUX CLEAR                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200412    |DIFFUSER THORN 125W M/V                           |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200413    |DIFFUSER 125M/V GEC PAT5212004                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200414    |DIFFUSERS M/V GE WITH CLIPS                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200492    |BOXES PMP SMALL 4 - 25 MM                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200565    |BRASS LIQUID                                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000084.000| 00000032.55000 | 000000002734.20 
