supplier_name,date,inv_reference,chq_reference,inv_ref_normalized,amount,inv_has_grn_match,chq_matches_voucher,chq_matches_invno,grn_match_count,grn_voucher,grn_supplier
VARIEGATED PTY LTD,2022-08-26,1015083,28733,1015083,48600.0,True,False,False,1,INVI005316,VARIEGATED PTY LTD
VARIEGATED PTY LTD,2022-09-01,1015094,29221,1015094,74880.0,True,False,False,1,INVI005324,VARIEGATED PTY LTD
VARIEGATED PTY LTD,2022-09-16,1015221,29358,1015221,108000.0,True,False,False,1,INVI005385,VARIEGATED PTY LTD
VARIEGATED PTY LTD,2022-11-24,1015905,30825,1015905,302400.0,True,False,False,2,INVI005670,VARIEGATED PTY LTD
VARIEGATED PTY LTD,2023-02-09,1016509,32816,1016509,121500.0,True,False,False,1,INVI005924,VARIEGATED PTY LTD
VARIEGATED PTY LTD,2023-04-25,1017161,34805,1017161,186975.0,True,False,False,1,INVI006184,VARIEGATED PTY LTD
VARIEGATED PTY LTD,2023-05-11,1017274,34971,1017274,198927.9,True,False,False,1,INVI006222,VARIEGATED PTY LTD
VARIEGATED PTY LTD,2023-05-24,1017458,35076,1017458,891342.0,True,False,False,8,INVI006285,VARIEGATED PTY LTD
VARIEGATED PTY LTD,2023-06-15,1017748,35966,1017748,1055700.0,True,False,False,2,INVI006390,VARIEGATED PTY LTD
@ OFFICE WORLD,2023-03-23,1016904,33670,1016904,29033.0,True,False,False,6,INVI006058,@ OFFICE WORLD
@ OFFICE WORLD,2023-04-05,1017012,34215,1017012,16168.0,True,False,False,1,INVI006109,@ OFFICE WORLD
@ OFFICE WORLD,2023-04-26,1017207,34837,1017207,1786.2,True,False,False,3,INVI006195,@ OFFICE WORLD
@ OFFICE WORLD,2023-05-11,1017272,35022,1017272,1273.73,True,False,False,1,INVI006220,@ OFFICE WORLD
@ OFFICE WORLD,2023-06-29,1017873,36385,1017873,18514.0,True,False,False,1,INVI006438,@ OFFICE WORLD
BLAQ.M,2022-07-01,1014842,27907,1014842,303725.78,False,False,False,0,,
BLAQ.M,2022-11-03,1015657,30592,1015657,2744808.16,True,False,False,1,INVI005578,BLAQ.M
EARTHMOVING EQUIPMENT CC,2022-07-25,1014925,27975,1014925,29179.96,False,False,False,0,,
EARTHMOVING EQUIPMENT CC,2023-04-06,1017048,34212,1017048,23534.75,True,False,False,1,INVI006125,EARTHMOVING EQUIPMENT CC
