hr185_reference,hr185_reference_normalized,supplier_code,supplier_name,transaction_date,transaction_type,amount,has_direct_grn_match,grn_match_type,grn_match_count,linking_method,has_inherited_grn_match,match_notes,grn_voucher,grn_inv_no,grn_supplier,paired_inv_reference
27949,27949,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-07-21,CHQ,84588.37,False,none,0,standard,False,Standalone CHQ transaction,,,,
27970,27970,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-07-22,CHQ,37696.11,False,none,0,standard,False,Standalone CHQ transaction,,,,
27972,27972,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-07-22,CHQ,1430.06,False,none,0,standard,False,Standalone CHQ transaction,,,,
27973,27973,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-07-22,CHQ,287.5,False,none,0,standard,False,Standalone CHQ transaction,,,,
0001014933,1014933,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-08-04,CN,-130958.75,False,none,0,standard,False,CN transaction,,,,
0001015578,1015578,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-10-26,INV,667.0,True,direct,1,standard,False,Invoice transaction,INVI005576,1015578.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015580,1015580,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-10-26,INV,517.5,True,direct,1,standard,False,Invoice transaction,INVI005576,1015580.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015582,1015582,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-10-26,INV,667.0,True,direct,1,standard,False,Invoice transaction,INVI005576,1015582.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015583,1015583,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-10-26,INV,667.0,True,direct,1,standard,False,Invoice transaction,INVI005576,1015583.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015585,1015585,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-10-26,INV,667.0,True,direct,1,standard,False,Invoice transaction,INVI005576,1015585.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015586,1015586,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-10-26,INV,5100.0,True,direct,1,standard,False,Invoice transaction,INVI005576,1015586.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
30634,30634,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-03,CHQ,8285.5,False,none,0,standard,False,Standalone CHQ transaction,,,,
0001015773,1015773,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,3570.14,True,direct,1,standard,False,Invoice transaction,INVI005624,1015773.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015774,1015774,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,1810.08,True,direct,1,standard,False,Invoice transaction,INVI005624,1015774.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015775,1015775,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,8040.32,True,direct,1,standard,False,Invoice transaction,INVI005624,1015775.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015776,1015776,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,4140.16,True,direct,1,standard,False,Invoice transaction,INVI005624,1015776.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015777,1015777,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,1610.07,True,direct,1,standard,False,Invoice transaction,INVI005624,1015777.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015778,1015778,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,2810.11,True,direct,1,standard,False,Invoice transaction,INVI005624,1015778.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015779,1015779,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,3880.16,True,direct,1,standard,False,Invoice transaction,INVI005624,1015779.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015780,1015780,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,16170.66,True,direct,1,standard,False,Invoice transaction,INVI005624,1015780.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015781,1015781,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,3289.0,True,direct,1,standard,False,Invoice transaction,INVI005624,1015781.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015782,1015782,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,4780.19,True,direct,1,standard,False,Invoice transaction,INVI005624,1015782.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015783,1015783,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,1895.05,True,direct,1,standard,False,Invoice transaction,INVI005624,1015783.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015784,1015784,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,1930.08,True,direct,1,standard,False,Invoice transaction,INVI005624,1015784.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015785,1015785,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,2490.1,True,direct,1,standard,False,Invoice transaction,INVI005624,1015785.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015786,1015786,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,2350.09,True,direct,1,standard,False,Invoice transaction,INVI005624,1015786.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015787,1015787,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,1963.51,True,direct,1,standard,False,Invoice transaction,INVI005624,1015787.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015788,1015788,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,1515.06,True,direct,1,standard,False,Invoice transaction,INVI005624,1015788.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015789,1015789,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,1828.5,True,direct,1,standard,False,Invoice transaction,INVI005624,1015789.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
