supplier_code,supplier_name,date,inv_reference,chq_reference,amount,inv_normalized,chq_normalized
8070,VARIEGATED PTY LTD,2022-08-26,0001015083,28733,48600.0,1015083,28733
8070,VARIEGATED PTY LTD,2022-09-01,0001015094,29221,74880.0,1015094,29221
8070,VARIEGATED PTY LTD,2022-09-16,0001015221,29358,108000.0,1015221,29358
8070,VARIEGATED PTY LTD,2022-11-24,0001015905,30825,302400.0,1015905,30825
8070,VARIEGATED PTY LTD,2023-02-09,0001016509,32816,121500.0,1016509,32816
8070,VARIEGATED PTY LTD,2023-04-25,0001017161,34805,186975.0,1017161,34805
8070,VARIEGATED PTY LTD,2023-05-11,0001017274,34971,198927.9,1017274,34971
8070,VARIEGATED PTY LTD,2023-05-24,0001017458,35076,891342.0,1017458,35076
8070,VARIEGATED PTY LTD,2023-06-15,0001017748,35966,1055700.0,1017748,35966
400263,@ OFFICE WORLD,2023-03-23,0001016904,33670,29033.0,1016904,33670
400263,@ OFFICE WORLD,2023-04-05,0001017012,34215,16168.0,1017012,34215
400263,@ OFFICE WORLD,2023-04-26,0001017207,34837,1786.2,1017207,34837
400263,@ OFFICE WORLD,2023-05-11,0001017272,35022,1273.73,1017272,35022
400263,@ OFFICE WORLD,2023-06-29,0001017873,36385,18514.0,1017873,36385
210709,BLAQ.M,2022-07-01,0001014842,27907,303725.78,1014842,27907
210709,BLAQ.M,2022-11-03,0001015657,30592,2744808.16,1015657,30592
300438,EARTHMOVING EQUIPMENT CC,2022-07-25,0001014925,27975,29179.96,1014925,27975
300438,EARTHMOVING EQUIPMENT CC,2023-04-06,0001017048,34212,23534.75,1017048,34212
877726,BILLEARS PERPETUAL TRADING ENTERPRISE CC,2024-08-23,0001020340,45599,186529.05,1020340,45599
877726,BILLEARS PERPETUAL TRADING ENTERPRISE CC,2025-06-30,0001022041,55339,28645.14,1022041,55339
3743,BATTERY CENTRE,2022-10-13,0001015438,29948,15415.75,1015438,29948
3743,BATTERY CENTRE,2023-04-05,0001017020,34214,2935.0,1017020,34214
3743,BATTERY CENTRE,2023-05-30,0001017530,35609,1587.5,1017530,35609
3743,BATTERY CENTRE,2024-10-02,0001020441,46950,2100.0,1020441,46950
3743,BATTERY CENTRE,2024-10-03,0001020462,47027,2420.0,1020462,47027
3743,BATTERY CENTRE,2025-02-05,0001021108,51019,2935.7,1021108,51019
3743,BATTERY CENTRE,2025-04-04,0001021431,52363,4540.0,1021431,52363
3743,BATTERY CENTRE,2025-04-09,0001021466,52424,1470.0,1021466,52424
401703,ELECTRICIVIL TRADING (PTY) LTD,2024-11-12,0001020656,48217,1295999.4,1020656,48217
401703,ELECTRICIVIL TRADING (PTY) LTD,2024-11-20,0001020710,48218,402040.0,1020710,48218
401703,ELECTRICIVIL TRADING (PTY) LTD,2025-06-25,0001021965,55743,413927.64,1021965,55743
401450,ELEGANT LINE TRADING 785 CC,2024-10-10,0001020486,47398,333565.56,1020486,47398
401450,ELEGANT LINE TRADING 785 CC,2024-10-29,0001020600,48233,274275.0,1020600,48233
401450,ELEGANT LINE TRADING 785 CC,2024-12-23,0001020951,49626,61479.0,1020951,49626
401450,ELEGANT LINE TRADING 785 CC,2025-02-18,0001021222,51568,92000.0,1021222,51568
401450,ELEGANT LINE TRADING 785 CC,2025-03-11,0001021323,52395,124200.0,1021323,52395
400121,STILFONTEIN SPARES,2022-10-14,0001015498,29949,2280.0,1015498,29949
400439,BUSINESS CONNEXION,2024-07-11,0001020309,44987,639617.76,1020309,44987
100536,CONQUEST CHEMICALS,2024-10-21,0001020561,47867,1980.0,1020561,47867
899648,SAMBA SOLUTIONS/NHLAMULO (K2023774256 (S.A)PTY LTD,2023-09-08,0001018192,44760,211600.0,1018192,44760
400833,E.K. CONSTRUCTION AND ALL GENERAL TRADING,2022-07-05,0001014869,27898,26910.0,1014869,27898
