item_no,tran_date,type,reference,line,vote_no,grn_qty,grn_value,issue_qty,issue_value,average_pr,var_percent,description,date_from,date_to,store,source_file
200018,2022-06-17,Carried Forward,,,,200018.0,20220617.0,,,,,KV,20220701,20230630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202207 - 202306.pdf
200018,2023-08-15,Brought Forward,,,,200018.0,20230815.0,,,,,KV,20230701,20240630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202307 - 202406.pdf
200018,2023-08-15,ISS,139843,2,0602ELP91ZZWM,,,200018.0,20230815.0,2.0,,KV,20230701,20240630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202307 - 202406.pdf
200018,2023-08-15,Carried Forward,,,,200018.0,20230815.0,,,,,KV,20230701,20240630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202307 - 202406.pdf
200018,2023-08-15,Carried Forward,,,,200018.0,20230815.0,,,,,KV,20240701,20250630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202407 - 202506.pdf
200019,2022-09-12,Brought Forward,,,,200019.0,20220912.0,,,,,KV,20220701,20230630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202207 - 202306.pdf
200019,2022-09-12,ISS,140708,11,0602ELP91ZZWM,,,200019.0,20220912.0,11.0,,KV,20220701,20230630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202207 - 202306.pdf
200019,2022-11-21,ISS,141583,2,0602ELP91ZZWM,,,200019.0,20221121.0,2.0,,KV,20220701,20230630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202207 - 202306.pdf
200019,2023-04-19,ISS,141642,2,0602ELP92ZZWM,,,200019.0,20230419.0,2.0,,KV,20220701,20230630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202207 - 202306.pdf
200019,2023-05-22,ISS,141501,2,0602ELP91ZZWM,,,200019.0,20230522.0,2.0,,KV,20220701,20230630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202207 - 202306.pdf
200019,2023-06-27,ISS,141532,3,0602ELP91ZZWM,,,200019.0,20230627.0,3.0,,KV,20220701,20230630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202207 - 202306.pdf
200019,2023-06-27,Carried Forward,,,,200019.0,20230627.0,,,,,KV,20220701,20230630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202207 - 202306.pdf
200019,2023-07-19,Brought Forward,,,,200019.0,20230719.0,,,,,KV,20230701,20240630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202307 - 202406.pdf
200019,2023-07-19,ISS,141540,9,0602ELP91ZZWM,,,200019.0,20230719.0,9.0,,KV,20230701,20240630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202307 - 202406.pdf
200019,2023-11-01,ISS,141685,2,0602ELP92ZZWM,,,200019.0,20231101.0,2.0,,KV,20230701,20240630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202307 - 202406.pdf
200019,2024-04-11,ISS,141266,2,0602ELP92ZZWM,,,200019.0,20240411.0,2.0,,KV,20230701,20240630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202307 - 202406.pdf
200019,2024-04-11,Carried Forward,,,,200019.0,20240411.0,,,,,KV,20230701,20240630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202307 - 202406.pdf
200019,2024-04-11,Carried Forward,,,,200019.0,20240411.0,,,,,KV,20240701,20250630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202407 - 202506.pdf
200034,2018-09-06,Carried Forward,,,,200034.0,20180906.0,,,,,AIRPORT FILTER CLAMP ASSEMBLY,20220701,20230630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202207 - 202306.pdf
200034,2018-09-06,Carried Forward,,,,200034.0,20180906.0,,,,,AIRPORT FILTER CLAMP ASSEMBLY,20230701,20240630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202307 - 202406.pdf
200034,2018-09-06,Carried Forward,,,,200034.0,20180906.0,,,,,AIRPORT FILTER CLAMP ASSEMBLY,20240701,20250630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202407 - 202506.pdf
200069,2018-09-06,Carried Forward,,,,200069.0,20180906.0,,,,,AIRPORT FILTER CLAMP ASSEMBLY,20220701,20230630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202207 - 202306.pdf
200069,2018-09-06,Carried Forward,,,,200069.0,20180906.0,,,,,AIRPORT FILTER CLAMP ASSEMBLY,20230701,20240630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202307 - 202406.pdf
200069,2018-09-06,Carried Forward,,,,200069.0,20180906.0,,,,,AIRPORT FILTER CLAMP ASSEMBLY,20240701,20250630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202407 - 202506.pdf
200070,2018-09-06,Carried Forward,,,,200070.0,20180906.0,,,,,KA,20220701,20230630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202207 - 202306.pdf
200070,2018-09-06,Carried Forward,,,,200070.0,20180906.0,,,,,KA,20230701,20240630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202307 - 202406.pdf
200070,2018-09-06,Carried Forward,,,,200070.0,20180906.0,,,,,KA,20240701,20250630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202407 - 202506.pdf
200077,2018-09-06,Carried Forward,,,,200077.0,20180906.0,,,,,KA,20220701,20230630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202207 - 202306.pdf
200077,2018-09-06,Carried Forward,,,,200077.0,20180906.0,,,,,KA,20230701,20240630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202307 - 202406.pdf
200077,2018-09-06,Carried Forward,,,,200077.0,20180906.0,,,,,KA,20240701,20250630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202407 - 202506.pdf
200085,2018-09-06,Carried Forward,,,,200085.0,20180906.0,,,,,AIRPORT BALLAST,20220701,20230630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202207 - 202306.pdf
200085,2018-09-06,Carried Forward,,,,200085.0,20180906.0,,,,,AIRPORT BALLAST,20230701,20240630,MAIN STORE MAIN STORE,HR390 - Movement per Store - 202307 - 202406.pdf
