unnamed:_0,unnamed:_1,unnamed:_2,sheet_name,source_file,document_type,order_no,count,date,supp_ref,supp_name,can_ord,item_code,item,description,quantity,ord_cost,grn_qty,grn_cost,inv_qty,return_qty
,List of Supplier who provided Electrical and PPE  materials related services in 2024,,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
,,,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
Count,Row Labels,Count of Count,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
1,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,253,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
2,E.K. CONSTRUCTION AND ALL GENERAL TRADING,223,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
3,DIRABOTLE PROJECTS (PTY) LTD,211,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
4,KHUWAIT GROUP OF COMPANIES,151,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
5,M EBERSOHN TRUCK AND DIESEL CC               L,139,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
6,JAM R ENGINEERING WORKS,122,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
7,STILFONTEIN SPARES,117,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
8,ELEGANT LINE TRADING 785 CC,92,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
9,CREATIVE FLEET SOLUTION,88,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
10,RIBESRI GENARAL TRADING,86,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
11,BOLEKANO BUILDING CONTRACTORS,82,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
12,AGAH MARKETING AND PROJECTS,71,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
13,TSEKGO PROJECTS CONSTRUCTION CC,64,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
14,REMMOGO RETLOTLEGEILE HOLDINGS AND TRADINGS(PTY)LT,50,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
15,GAMES & PC SOUND CC,47,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
16,HETANI TRADING ENTERPRISE (PTY) LTD,45,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
17,AT JOY COMMUNICATIONS AND OFFICE AUTOMATION,42,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
18,MOJALEFA PHOOFOLO FUNERAL HOME (PTY) LTD,34,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
19,MAMOKOMANE FUNERAL PARLOUR,33,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
20,SETOUTO PROJECTS (PTY) LTD,33,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
21,DREAMFINDER TRADING & PROJECT 115 CC,32,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
22,SITHOLE BUSINESS ADVISORY SERVICES,31,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
23,@ OFFICE WORLD,30,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
24,SWAMDLHA TRADING AND PROJECTS,30,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
25,AMANDLA BUILDING & CONSTRUCTION (PTY) LTD,28,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
26,BATTERY CENTRE,28,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
27,EARTHMOVING EQUIPMENT CC,28,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
