source_file,page_number,line_number,content,document_type,file_type
HD170_5558_ENQ600_4_hold.pdf,1,1,SAB14001 ** KLERKSDORP SCOA LIVE DB 1 ** 25 July 2025 16:15:39,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,2,HD170 Generate Stock Take Adjustments Page 1,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,3,-----------------------------------------------------------------------------------------------------------------------------------,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,4,Surplus Debit Adjustments for Vote 65153700150PRZZZZZWM Reason Code: STYEND,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,5,From Store: To Store: Counted Date: 20250702 Fin Period.: 202506 Jrn Seq: I Item Status: Store Status:,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,6,Run Type: F,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,7,-----------------------------------------------------------------------------------------------------------------------------------,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,8,Journal Fin Surplus Surplus,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,9,Journal No Date Period Store No Item No UOM Bin No Vote No Qty Amt,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,10,-----------------------------------------------------------------------------------------------------------------------------------,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,11,00000000000745 20250702 202506 MAIN STORE 204236 EACH SHF C3 65153700150PRZZZZZWM 208.000,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,12,FUSES 10 A FUSELINK TYPE K,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,13,00000000000747 20250702 202506 MAIN STORE 205974 EACH NONE 65153700150PRZZZZZWM 62.000 2604.00,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,14,LAMPS 250V 60W ES & BC,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,15,00000000000748 20250702 202506 MAIN STORE 206849 EACH NONE 65153700150PRZZZZZWM 16.000 1504.00,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,16,LAMPS SON T 250 WATT,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,17,00000000000753 20250702 202506 MAIN STORE 210102 EACH 00NONE 65153700150PRZZZZZWM 45.000 302400.00,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,18,POLES STEEL 11 METERS,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,19,00000000000754 20250702 202506 MAIN STORE 210322 EACH 00NONE 65153700150PRZZZZZWM 15.000 2610.00,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,20,TAPE NR 23 24MMX9M 3M SCOTCH,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,21,00000000000755 20250702 202506 MAIN STORE 211117 EACH 00NONE 65153700150PRZZZZZWM 309.000 6674.40,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,22,SLEEVES 95 MM,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,23,00000000000756 20250702 202506 MAIN STORE 211311 EACH 00NONE 65153700150PRZZZZZWM 2.000 67.20,Stock Query/Hold Report,PDF
HD170_5558_ENQ600_4_hold.pdf,1,24,SLEEVES 120MM COPPER/185 ALLUM,Stock Query/Hold Report,PDF
