source_file,page_number,supplier_code,supplier_name,transaction_date,transaction_type,reference,amount,additional_info,document_type,report_period,file_type,report_period_start,report_period_end,original_report_period,reference_normalized
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-07-21,CHQ,27949,84588.37,777,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,27949
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-07-22,CHQ,27970,37696.11,777,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,27970
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-07-22,CHQ,27972,1430.06,777,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,27972
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-07-22,CHQ,27973,287.5,777,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,27973
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-08-04,CN,0001014933,-130958.75,1,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1014933
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-10-26,INV,0001015578,667.0,211581,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015578
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-10-26,INV,0001015580,517.5,211579,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015580
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-10-26,INV,0001015582,667.0,211582,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015582
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-10-26,INV,0001015583,667.0,211578,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015583
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-10-26,INV,0001015585,667.0,211583,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015585
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-10-26,INV,0001015586,5100.0,211580,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015586
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-03,CHQ,30634,8285.5,777,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,30634
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015773,3570.14,211093,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015773
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015774,1810.08,211096,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015774
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015775,8040.32,211362,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015775
