store_no,bin_no,item_code,description,uom,item_cat,item_cat_desc,item_sub_cat,item_sub_cat_desc,quantity,unit_price,on_hand_value,source_file,document_type
GARAGE STO,NONE,607600,chain lube 1ltr,LT,OIL,OIL,OIL,OIL,8.0,240.0,1920.0,hr450x250726.txt,txt
GARAGE STO,NONE,607601,2 stroke oil,EACH,OIL,OIL,OIL,OIL,0.0,0.0,0.0,hr450x250726.txt,txt
GARAGE STO,NONE,607688,ANTI-FREEZE,LT,OIL,OIL,OIL,OIL,420.0,46.66667,19600.0,hr450x250726.txt,txt
GARAGE STO,NONE,609566,OIL HYDRAULIC RANDO HD 68,LT,OIL,OIL,OIL,OIL,0.0,0.0,0.0,hr450x250726.txt,txt
GARAGE STO,NONE,609639,OIL 80W-90GL4GEARBOX,LT,OIL,OIL,OIL,OIL,0.0,0.0,0.0,hr450x250726.txt,txt
GARAGE STO,NONE,609649,OIL ENGINE 15W-40,LT,OIL,OIL,OIL,OIL,0.0,0.0,0.0,hr450x250726.txt,txt
GARAGE STO,NONE,609655,DEGREASING FLUID,LT,OIL,OIL,OIL,OIL,0.0,0.0,0.0,hr450x250726.txt,txt
GARAGE STO,00NONE,609662,BRAKE FLUID 500ML,EACH,OIL,OIL,OIL,OIL,155.5,74.74997,11623.62,hr450x250726.txt,txt
GARAGE STO,00NONE,609663,GREASE LITHIUM EP 2,KG,OIL,OIL,OIL,OIL,180.0,166.66667,30000.0,hr450x250726.txt,txt
MAIN STORE,NONE,0R202452,DISPENSER,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,0R907316,GHRIES,KG,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,100075,BREAKERS 70 A Q L,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,100124,TAPE 20 MM RED PVC,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,100967,BUCKLES BANDIT,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,101454,BOEKE MAGASYN VOORRAAD (BESTEL,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200018,ARRESTORS PORCELEIN 6KV,EACH,GENERAL,GENERAL,GENERAL,GENERAL,87.0,542.2354,47174.48,hr450x250726.txt,txt
MAIN STORE,NONE,200019,ARRESTORS MOV PORCELAIN 12KV,EACH,GENERAL,GENERAL,GENERAL,GENERAL,63.0,515.0,32445.0,hr450x250726.txt,txt
MAIN STORE,NONE,200034,AIRPORT FILTER CLAMP ASSEMBLY,EACH,GENERAL,GENERAL,GENERAL,GENERAL,13.0,36.27,471.51,hr450x250726.txt,txt
MAIN STORE,NONE,200069,SURGE ARRESTOR S/PHASE QKLN/2,EACH,GENERAL,GENERAL,GENERAL,GENERAL,7.0,312.5,2187.5,hr450x250726.txt,txt
MAIN STORE,NONE,200070,SURGE ARRESTOR T/P QKLN/4 20KA,EACH,GENERAL,GENERAL,GENERAL,GENERAL,27.0,543.58481,14676.79,hr450x250726.txt,txt
MAIN STORE,NONE,200077,AIRPORT COUPLINGS H & F.M.,SET,GENERAL,GENERAL,GENERAL,GENERAL,19.0,160.78684,3054.95,hr450x250726.txt,txt
MAIN STORE,NONE,200085,AIRPORT BALLAST,EACH,GENERAL,GENERAL,GENERAL,GENERAL,1.0,812.0,812.0,hr450x250726.txt,txt
MAIN STORE,NONE,200093,AIRPORT LAMPS,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200107,AIRPORT HOLDERS,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200123,AIRPORT LENSES C/W GASKETS,EACH,GENERAL,GENERAL,GENERAL,GENERAL,3.0,161.38,484.14,hr450x250726.txt,txt
MAIN STORE,NONE,200131,AIRPORT LENSES ORANGE,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200158,AIRPORT LENSES RED,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200166,CANOPIES 125W M/V BEKAREY,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200174,AIRPORT LENSES GREEN,EACH,GENERAL,GENERAL,GENERAL,GENERAL,7.0,212.48,1487.36,hr450x250726.txt,txt
MAIN STORE,NONE,200182,AIRPORT LENSES BLUE,EACH,GENERAL,GENERAL,GENERAL,GENERAL,11.0,288.94818,3178.43,hr450x250726.txt,txt
MAIN STORE,NONE,200204,BALLASTS 65W FOR 5 TUBES,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200212,AIRPORT PATCH CORDS KEYS,SET,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200239,AIRPORT ZA202 COMPLETE LIGHT U,EACH,GENERAL,GENERAL,GENERAL,GENERAL,1.0,3320.0,3320.0,hr450x250726.txt,txt
MAIN STORE,NONE,200255,BALLAST SINGLE 40W 4FT PARMA,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200301,BALLAST 80W 8FT HARPER,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200409,BOWLS M/V 125W,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200410,BOWELS DIFFUSER GE,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200411,BOWLS DIFFUSER BEKALUX CLEAR,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200412,DIFFUSER THORN 125W M/V,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200413,DIFFUSER 125M/V GEC PAT5212004,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200414,DIFFUSERS M/V GE WITH CLIPS,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200492,BOXES PMP SMALL 4 - 25 MM,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200565,BRASS LIQUID,EACH,GENERAL,GENERAL,GENERAL,GENERAL,84.0,32.55,2734.2,hr450x250726.txt,txt
MAIN STORE,NONE,200581,BOXES POLE MOUNTED,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200602,BRACKET STRUT,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200603,BRACKETS   L  SHAPE FOR P,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200697,BOXES DIST.3 WAY,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200743,BOXES DIST.4_WAY,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200808,BOXES DISTR. 12 WAY,EACH,GENERAL,GENERAL,GENERAL,GENERAL,3.0,3280.95,9842.85,hr450x250726.txt,txt
MAIN STORE,NONE,200816,BOXES DIST. 6 WAY,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200824,BOXES BUNDLE 9 WAY YORK,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200825,BOXES YORK 4WAY C/W3LIVE TAILS,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200832,BOXES 2 WAY,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200875,JOINTS MT1 METAPLAST,EACH,GENERAL,GENERAL,GENERAL,GENERAL,256.0,53.8,13772.8,hr450x250726.txt,txt
MAIN STORE,NONE,200883,JOINTS SMALL LJBC OIL 3L,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200891,JOINTS LARGE LJBC OIL 6L,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200905,JOINTS MT 2 METAPLAST,EACH,GENERAL,GENERAL,GENERAL,GENERAL,2.0,320.84,641.68,hr450x250726.txt,txt
MAIN STORE,NONE,200913,JOINTS MT 3_METAPLAST,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,00NONE,200971,JOINTS MT 5,EACH,GENERAL,GENERAL,GENERAL,GENERAL,31.0,1260.0,39060.0,hr450x250726.txt,txt
MAIN STORE,NONE,200972,JOINTS MT4 METAPLAST,EACH,GENERAL,GENERAL,GENERAL,GENERAL,34.0,504.0,17136.0,hr450x250726.txt,txt
MAIN STORE,NONE,200973,BRACKETS STREETLIGHT CEM/POLE,EACH,GENERAL,GENERAL,GENERAL,GENERAL,42.0,131.47,5521.74,hr450x250726.txt,txt
MAIN STORE,NONE,200974,POLE SPIGOT SIGLE 76X200MM,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200975,POLE SPIGOT DOUBLE 76X200MM,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200976,POLE SPIGOT SINGLE 89X200MM,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200977,POLE SPIGOT DOUBLE 89X200MM,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200978,POLE SPIGOT SINGLE 127X200MM,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200979,POLE SPIGOT DOUBLE 127X200MM,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200980,POLE SPIGOT SINGLE 76X1.5M,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200981,POLE SPIGOT DOUBLE 76X1.5M,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200982,POLE SPIGOT SINGLE 89X1.5M,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200983,POLE SPIGOT DOUBLE 89X1.5M,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200984,POLE SPIGOT SINGLE 127X1.5M,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200985,POLE SPIGOT DOUBLE 127X1.5M,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,200986,POLE CLAMP SINGLE SPIGOT,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,NONE,201022,BREAKERS 5 AMP,EACH,GENERAL,GENERAL,GENERAL,GENERAL,293.0,156.0,45708.0,hr450x250726.txt,txt
MAIN STORE,NONE,201073,BREAKERS 10 AMP,EACH,GENERAL,GENERAL,GENERAL,GENERAL,328.0,162.0,53136.0,hr450x250726.txt,txt
MAIN STORE,NONE,201189,BREAKERS 20 AMP,EACH,GENERAL,GENERAL,GENERAL,GENERAL,531.0,227.88701,121008.0,hr450x250726.txt,txt
MAIN STORE,NONE,201235,BREAKERS 25 AMP,EACH,GENERAL,GENERAL,GENERAL,GENERAL,355.0,194.29039,68973.09,hr450x250726.txt,txt
MAIN STORE,NONE,201286,BREAKERS 30 AMP,EACH,GENERAL,GENERAL,GENERAL,GENERAL,7.0,184.0,1288.0,hr450x250726.txt,txt
MAIN STORE,NONE,201324,BREAKERS 35 AMP,EACH,GENERAL,GENERAL,GENERAL,GENERAL,74.0,272.23811,20145.62,hr450x250726.txt,txt
MAIN STORE,00NONE,201375,BREAKERS 63 AMP CURVE 1 ORANGE,EACH,GENERAL,GENERAL,GENERAL,GENERAL,101.0,228.0,23028.0,hr450x250726.txt,txt
MAIN STORE,00NONE,201376,BREAKERS 63 A SF1-G3 CURVE2S/P,EACH,GENERAL,GENERAL,GENERAL,GENERAL,311.0,174.0,54114.0,hr450x250726.txt,txt
MAIN STORE,NONE,201405,BREAKERS 45 AMP,EACH,GENERAL,GENERAL,GENERAL,GENERAL,31.0,281.31548,8720.78,hr450x250726.txt,txt
MAIN STORE,00NONE,201409,100 amp tripple pole c/b qf3 w,EACH,GENERAL,GENERAL,GENERAL,GENERAL,104.0,3451.1851,358923.25,hr450x250726.txt,txt
MAIN STORE,00NONE,201410,125 amp tripple pole c/b qf3,EACH,GENERAL,GENERAL,GENERAL,GENERAL,0.0,0.0,0.0,hr450x250726.txt,txt
MAIN STORE,SHF A5,201413,BREAKERS TRIP.POLE 150A 25KA,EACH,GENERAL,GENERAL,GENERAL,GENERAL,171.0,5569.66374,952412.5,hr450x250726.txt,txt
MAIN STORE,00NONE,201421,BREAKERS TRIP.POLE_200A 25KA,EACH,GENERAL,GENERAL,GENERAL,GENERAL,19.0,6000.0,114000.0,hr450x250726.txt,txt
MAIN STORE,SHF A5,201448,BREAKERS TRIP.POLE 250A 25KA,EACH,GENERAL,GENERAL,GENERAL,GENERAL,20.0,8451.34,169026.8,hr450x250726.txt,txt
