requisition_no,date,store_no,item_code,description,uom_code,quantity,issue_cost,fin_period,vote_no,fleet_unit_no,ei_code,job_no,activity,category,sheet_name,source_file,document_type
49245,,STAT.STORE,108995,GROEN 2 SHEET BOARD 640 X 920,REAM,2.0,5499.0,202409,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
49245,,STAT.STORE,109002,YELLOW TWO SHEET BOARD 640 X 9,REAM,2.0,3770.0,202409,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
49245,,STAT.STORE,109053,BOARDS PINK 2 SHEET 610X430MM,REAM,2.0,5331.0,202409,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
51103,,STAT.STORE,102598,CLIPS:FOLD BACK 19MM,EACH,60.0,47.4,202402,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
51103,,STAT.STORE,102709,COVERS I.J. RONAC PLASTIC,EACH,300.0,2025.0,202402,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
51103,,STAT.STORE,103721,FILES A4 LEVER ARCH,EACH,50.0,1218.0,202402,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
51103,,STAT.STORE,105325,PAPER ROTATRIM BOND 80G WHITE,REAM,75.0,5220.0,202402,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
51103,,STAT.STORE,105864,PRITT,EACH,40.0,1238.8,202402,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
51103,,STAT.STORE,105937,PENS BALL POINT BLUE RED & BLA,EACH,120.0,658.8,202402,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
51103,,STAT.STORE,108502,CORRECTION PEN.PENTEL.BLUE BOT,EACH,36.0,1929.24,202402,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
51105,,STAT.STORE,100749,BOOKS A4 RULED ONLY,EACH,10.0,197.2,202309,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
51105,,STAT.STORE,102628,CLIPS FOLD BACK 32MM,EACH,120.0,198.0,202309,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
51105,,STAT.STORE,102709,COVERS I.J. RONAC PLASTIC,EACH,100.0,675.0,202309,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
51105,,STAT.STORE,103721,FILES A4 LEVER ARCH,EACH,20.0,487.2,202309,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
51105,,STAT.STORE,105368,BLOU 70 GSM TYPEK BOND,REAM,150.0,25404.0,202309,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
51105,,STAT.STORE,105864,PRITT,EACH,5.0,154.85,202309,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
51105,,STAT.STORE,105937,PENS BALL POINT BLUE RED & BLA,EACH,100.0,464.0,202309,60052304510PRMRCZZHO,,,,,,HR995issue,HR995issue.xlsx,xlsx
