item_code,supplier_name,item_description,source_type,request_count,total_quantity,avg_quantity,first_request,last_request
224688,DIRABOTLE PROJECTS (PTY) LTD,REPAIR AND MAINTENANCE,GRN,376,2311.0,6.15,,
224688,ELEGANT LINE TRADING 785 CC,REPAIR AND MAINTENANCE,GRN,320,525.0,1.64,,
T000019079,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,TYRE,GRN,204,658.0,3.23,,
269086,E.K. CONSTRUCTION AND ALL GENERAL TRADING,PLANT HIRE,GRN,191,25828.0,135.23,,
P000015061,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,PUNCTURE REPAIR,GRN,133,143.0,1.08,,
0000123458,M EBERSOHN TRUCK AND DIESEL CC               L,repair rear lower body panel:,GRN,113,113.0,1.0,,
224688,TSEKGO PROJECTS CONSTRUCTION CC,REPAIR AND MAINTENANCE,GRN,111,115.0,1.04,,
S000018016,STILFONTEIN SPARES,SERVICE,GRN,110,123.0,1.12,,
130358,MAMOKOMANE FUNERAL PARLOUR,PAUPER FUNERAL,GRN,108,108.0,1.0,,
0000123458,JAM R ENGINEERING WORKS,repair rear lower body panel:,GRN,100,100.0,1.0,,
130358,REMMOGO RETLOTLEGEILE HOLDINGS AND TRADINGS(PTY)LT,PAUPER FUNERAL,GRN,89,89.0,1.0,,
269086,KHUWAIT GROUP OF COMPANIES,PLANT HIRE,GRN,80,9930.0,124.12,,
B000000099,BATTERY CENTRE,BATTERY,GRN,77,98.0,1.27,,
130358,MOJALEFA PHOOFOLO FUNERAL HOME (PTY) LTD,PAUPER FUNERAL,GRN,74,74.0,1.0,,
0000123458,BOLEKANO BUILDING CONTRACTORS,repair rear lower body panel:,GRN,70,70.0,1.0,,
0000123458,RIBESRI GENARAL TRADING,repair rear lower body panel:,GRN,63,63.0,1.0,,
0000123458,CREATIVE FLEET SOLUTION,repair rear lower body panel:,GRN,63,63.0,1.0,,
169221,JAM R ENGINEERING WORKS,REPAIRS,GRN,61,62.0,1.02,,
224688,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,REPAIR AND MAINTENANCE,GRN,56,267.0,4.77,,
S000018016,ORANJE TOYOTA,SERVICE,GRN,53,53.0,1.0,,
B000000099,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,BATTERY,GRN,49,65.0,1.33,,
S000018016,NTT NISSAN KLERKSDORP,SERVICE,GRN,47,47.0,1.0,,
P000015009,REMMOGO RETLOTLEGEILE HOLDINGS AND TRADINGS(PTY)LT,PAUPER BURIAL,GRN,43,43.0,1.0,,
269086,HETANI TRADING ENTERPRISE (PTY) LTD,PLANT HIRE,GRN,43,7125.0,165.7,,
S000018016,RIBESRI GENARAL TRADING,SERVICE,GRN,43,43.0,1.0,,
169221,CREATIVE FLEET SOLUTION,REPAIRS,GRN,40,40.0,1.0,,
170552,E.K. CONSTRUCTION AND ALL GENERAL TRADING,hire,GRN,37,5685.0,153.65,,
P000015009,MOJALEFA PHOOFOLO FUNERAL HOME (PTY) LTD,PAUPER BURIAL,GRN,36,36.0,1.0,,
269086,M EBERSOHN TRUCK AND DIESEL CC               L,PLANT HIRE,GRN,36,1197.0,33.25,,
N000013009,KLERKSDORP RECORD,NOTICE,GRN,35,35.0,1.0,,
P000015009,MAMOKOMANE FUNERAL PARLOUR,PAUPER BURIAL,GRN,33,33.0,1.0,,
S000018016,WESTVAAL DELTA,SERVICE,GRN,32,32.0,1.0,,
224688,ELECTRICIVIL TRADING (PTY) LTD,REPAIR AND MAINTENANCE,GRN,31,31.0,1.0,,
P000015061,KHUWAIT GROUP OF COMPANIES,PUNCTURE REPAIR,GRN,29,30.0,1.03,,
169221,M EBERSOHN TRUCK AND DIESEL CC               L,REPAIRS,GRN,29,29.0,1.0,,
EXCESS,IMPALA PANEL BEATERS,excess payable for replacement,GRN,28,28.0,1.0,,
169221,EARTHMOVING EQUIPMENT CC,REPAIRS,GRN,28,28.0,1.0,,
169221,RIBESRI GENARAL TRADING,REPAIRS,GRN,27,27.0,1.0,,
T000019079,KHUWAIT GROUP OF COMPANIES,TYRE,GRN,27,80.0,2.96,,
169221,STILFONTEIN SPARES,REPAIRS,GRN,27,27.0,1.0,,
130358,KGAUWE FUNERAL UNDERTAKERS (KGAUWE TRANSPORTATION),PAUPER FUNERAL,GRN,26,26.0,1.0,,
269086,SWAMDLHA TRADING AND PROJECTS,PLANT HIRE,GRN,26,790.0,30.38,,
REPAIR,DIRABOTLE PROJECTS (PTY) LTD,repair and maintanance,GRN,25,30.0,1.2,,
S000018016,LAUBSTAR NW T/A LAUBSTAR FLEET SERVICES,SERVICE,GRN,24,24.0,1.0,,
S000018016,KHUWAIT GROUP OF COMPANIES,SERVICE,GRN,23,661.0,28.74,,
224688,RHUONE PROJECTS AND PLANT HIRE,REPAIR AND MAINTENANCE,GRN,23,26.0,1.13,,
169221,BOLEKANO BUILDING CONTRACTORS,REPAIRS,GRN,23,23.0,1.0,,
144874,GMHM CONSTRUCTIONS & PROJECT 47,parrafin,GRN,21,86928.0,4139.43,,
224688,GREENFORD ENGINEERING CONSTRUCTION,REPAIR AND MAINTENANCE,GRN,20,20.0,1.0,,
269086,DREAMFINDER TRADING & PROJECT 115 CC,PLANT HIRE,GRN,20,1545.0,77.25,,
R221691,ELEGANT LINE TRADING 785 CC,REPAIR & MAINTAIN HIGH MAST LI,GRN,18,18.0,1.0,,
169221,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,REPAIRS,GRN,18,30.0,1.67,,
269086,AMANDLA BUILDING & CONSTRUCTION (PTY) LTD,PLANT HIRE,GRN,18,3209.0,178.28,,
204591,E.K. CONSTRUCTION AND ALL GENERAL TRADING,hire,GRN,18,2785.0,154.72,,
269086,BOLEKANO BUILDING CONTRACTORS,PLANT HIRE,GRN,18,25.0,1.39,,
138270,SENNES GENERAL TRADING,SUPPLY AND DELIVERY,GRN,16,16.0,1.0,,
269086,MATLOSANA LANT HIRE,PLANT HIRE,GRN,16,55.0,3.44,,
T000019079,RIBESRI GENARAL TRADING,TYRE,GRN,16,55.0,3.44,,
S000018016,CREATIVE FLEET SOLUTION,SERVICE,GRN,16,16.0,1.0,,
S000018016,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,SERVICE,GRN,16,28.0,1.75,,
EXCESS,BLAQ.M,excess payable for replacement,GRN,15,15.0,1.0,,
H000007036,E.K. CONSTRUCTION AND ALL GENERAL TRADING,HIRING OF A TIPPER TRUCK,GRN,15,587.0,39.13,,
169221,KHUWAIT GROUP OF COMPANIES,REPAIRS,GRN,14,14.0,1.0,,
500001,NL SUPPLIERS AND PROJECTS,ASPHALT PREMIX,GRN,14,49070.0,3505.0,,
