counted_store_no,stock_cnt_ref_2,item_code,bin_no,quantity,res_qty,counted_undamaged,counted_damaged,sht_qty,sht_val,surp_qty,surp_val,description,undam_val,dam_val,sheet_name,source_file,document_type
GARAGE STO,NTGS23,607600,NONE,0.0,0,0.0,0,0,0.0,0,0.0,chain lube 100v ltr oil,0.0,0.0,Sheet1,Variance report.xlsx,xlsx
GARAGE STO,NTGS23,607601,NONE,150.0,0,150.0,0,0,0.0,0,0.0,2 stroke oil 500ml,14731.0,0.0,Sheet1,Variance report.xlsx,xlsx
GARAGE STO,NTGS23,607688,NONE,585.0,0,585.0,0,0,0.0,0,0.0,ANTI-FREEZE,27300.0,0.0,Sheet1,Variance report.xlsx,xlsx
GARAGE STO,NTGS23,609566,NONE,1325.0,0,1325.0,0,0,0.0,0,0.0,OIL HYDRAULIC RANDO HD 68,87749.05,0.0,Sheet1,Variance report.xlsx,xlsx
GARAGE STO,NTGS23,609639,NONE,472.0,0,472.0,0,0,0.0,0,0.0,OIL 80W-90GL4GEARBOX,31844.78,0.0,Sheet1,Variance report.xlsx,xlsx
GARAGE STO,NTGS23,609649,NONE,796.0,0,796.0,0,0,0.0,0,0.0,OIL ENGINE 15W-40,46088.4,0.0,Sheet1,Variance report.xlsx,xlsx
GARAGE STO,NTGS23,609655,NONE,840.0,0,840.0,0,0,0.0,0,0.0,DEGREASING FLUID,30900.0,0.0,Sheet1,Variance report.xlsx,xlsx
GARAGE STO,NTGS23,609662,NONE,66.5,0,66.5,0,0,0.0,0,0.0,BRAKE FLUID 500ML,3657.5,0.0,Sheet1,Variance report.xlsx,xlsx
GARAGE STO,NTGS23,609663,00NONE,180.0,0,180.0,0,0,0.0,0,0.0,GREASE LITHIUM EP 2 GREASE,30000.0,0.0,Sheet1,Variance report.xlsx,xlsx
MAIN STORE,NTMS23,200018,NONE,90.0,0,90.0,0,0,0.0,0,0.0,ARRESTORS PORCELEIN 6KV,48801.19,0.0,Sheet1,Variance report.xlsx,xlsx
MAIN STORE,NTMS23,200019,NONE,78.0,0,78.0,0,0,0.0,0,0.0,ARRESTORS MOV PORCELAIN 12KV,40170.0,0.0,Sheet1,Variance report.xlsx,xlsx
MAIN STORE,NTMS23,200034,NONE,13.0,0,13.0,0,0,0.0,0,0.0,AIRPORT FILTER CLAMP ASSEMBLY,471.51,0.0,Sheet1,Variance report.xlsx,xlsx
MAIN STORE,NTMS23,200069,NONE,7.0,0,7.0,0,0,0.0,0,0.0,SURGE ARRESTOR SINGLE PHASE QKLN /2 20 KA,2187.5,0.0,Sheet1,Variance report.xlsx,xlsx
